scenario,num_ecus,ecu_id,old_state,new_state,timestamp,latency_ms,jitter_ms,throughput_mps,end_to_end_ms,sequence_number
dds_10ecus,10,ECU_007,IDLE,DOWNLOADING,2.04435,,2.717,5839.76,8.562,1
dds_10ecus,10,ECU_008,IDLE,DOWNLOADING,2.197894,,2.717,5839.76,8.562,2
dds_10ecus,10,ECU_004,IDLE,DOWNLOADING,2.263187,,2.717,5839.76,8.562,3
dds_10ecus,10,ECU_001,IDLE,DOWNLOADING,2.375611,,2.717,5839.76,8.562,4
dds_10ecus,10,ECU_002,IDLE,DOWNLOADING,2.675465,,2.717,5839.76,8.562,5
dds_10ecus,10,ECU_010,IDLE,DOWNLOADING,2.723501,,2.717,5839.76,8.562,6
dds_10ecus,10,ECU_006,IDLE,DOWNLOADING,3.038118,,2.717,5839.76,8.562,7
dds_10ecus,10,ECU_009,IDLE,DOWNLOADING,3.116098,,2.717,5839.76,8.562,8
dds_10ecus,10,ECU_003,IDLE,DOWNLOADING,3.16358,,2.717,5839.76,8.562,9
dds_10ecus,10,ECU_007,DOWNLOADING,VERIFYING,3.39141,,2.717,5839.76,8.562,10
dds_10ecus,10,ECU_005,IDLE,DOWNLOADING,3.421064,,2.717,5839.76,8.562,11
dds_10ecus,10,ECU_004,DOWNLOADING,VERIFYING,3.708009,,2.717,5839.76,8.562,12
dds_10ecus,10,ECU_001,DOWNLOADING,VERIFYING,3.804285,,2.717,5839.76,8.562,13
dds_10ecus,10,ECU_010,DOWNLOADING,VERIFYING,3.972572,,2.717,5839.76,8.562,14
dds_10ecus,10,ECU_008,DOWNLOADING,VERIFYING,3.989724,,2.717,5839.76,8.562,15
dds_10ecus,10,ECU_003,DOWNLOADING,VERIFYING,4.468815,,2.717,5839.76,8.562,16
dds_10ecus,10,ECU_002,DOWNLOADING,VERIFYING,4.652609,,2.717,5839.76,8.562,17
dds_10ecus,10,ECU_004,VERIFYING,INSTALLING,4.793813,,2.717,5839.76,8.562,18
dds_10ecus,10,ECU_009,DOWNLOADING,VERIFYING,4.884233,,2.717,5839.76,8.562,19
dds_10ecus,10,ECU_006,DOWNLOADING,VERIFYING,4.953206,,2.717,5839.76,8.562,20
dds_10ecus,10,ECU_005,DOWNLOADING,VERIFYING,4.994186,,2.717,5839.76,8.562,21
dds_10ecus,10,ECU_010,VERIFYING,INSTALLING,5.074755,,2.717,5839.76,8.562,22
dds_10ecus,10,ECU_007,VERIFYING,INSTALLING,5.327966,,2.717,5839.76,8.562,23
dds_10ecus,10,ECU_001,VERIFYING,INSTALLING,5.410498,,2.717,5839.76,8.562,24
dds_10ecus,10,ECU_004,INSTALLING,REBOOTING,5.568848,,2.717,5839.76,8.562,25
dds_10ecus,10,ECU_004,REBOOTING,DONE,5.626411,8.562,2.717,5839.76,8.562,26
dds_10ecus,10,ECU_008,VERIFYING,INSTALLING,5.790891,,2.717,5839.76,8.562,27
dds_10ecus,10,ECU_003,VERIFYING,INSTALLING,5.884802,,2.717,5839.76,8.562,28
dds_10ecus,10,ECU_010,INSTALLING,REBOOTING,6.057565,,2.717,5839.76,8.562,29
dds_10ecus,10,ECU_010,REBOOTING,DONE,6.087274,7.195,2.717,5839.76,8.562,30
dds_10ecus,10,ECU_005,VERIFYING,INSTALLING,6.139228,,2.717,5839.76,8.562,31
dds_10ecus,10,ECU_007,INSTALLING,REBOOTING,6.281607,,2.717,5839.76,8.562,32
dds_10ecus,10,ECU_001,INSTALLING,REBOOTING,6.286865,,2.717,5839.76,8.562,33
dds_10ecus,10,ECU_006,VERIFYING,INSTALLING,6.306549,,2.717,5839.76,8.562,34
dds_10ecus,10,ECU_007,REBOOTING,DONE,6.315386,7.259,2.717,5839.76,8.562,35
dds_10ecus,10,ECU_001,REBOOTING,DONE,6.331394,5.845,2.717,5839.76,8.562,36
dds_10ecus,10,ECU_003,INSTALLING,REBOOTING,6.518638,,2.717,5839.76,8.562,37
dds_10ecus,10,ECU_003,REBOOTING,DONE,6.565573,6.985,2.717,5839.76,8.562,38
dds_10ecus,10,ECU_002,VERIFYING,INSTALLING,6.570818,,2.717,5839.76,8.562,39
dds_10ecus,10,ECU_008,INSTALLING,REBOOTING,6.60865,,2.717,5839.76,8.562,40
dds_10ecus,10,ECU_008,REBOOTING,DONE,6.65185,6.847,2.717,5839.76,8.562,41
dds_10ecus,10,ECU_005,INSTALLING,REBOOTING,6.905843,,2.717,5839.76,8.562,42
dds_10ecus,10,ECU_006,INSTALLING,REBOOTING,6.909164,,2.717,5839.76,8.562,43
dds_10ecus,10,ECU_009,VERIFYING,INSTALLING,6.916994,,2.717,5839.76,8.562,44
dds_10ecus,10,ECU_005,REBOOTING,DONE,6.917085,7.569,2.717,5839.76,8.562,45
dds_10ecus,10,ECU_006,REBOOTING,DONE,6.933663,7.078,2.717,5839.76,8.562,46
dds_10ecus,10,ECU_002,INSTALLING,REBOOTING,7.297864,,2.717,5839.76,8.562,47
dds_10ecus,10,ECU_002,REBOOTING,DONE,7.346273,7.762,2.717,5839.76,8.562,48
dds_10ecus,10,ECU_009,INSTALLING,REBOOTING,7.785173,,2.717,5839.76,8.562,49
dds_10ecus,10,ECU_009,REBOOTING,DONE,7.809,7.366,2.717,5839.76,8.562,50
